"id","name","user_name","user_stars","comment_time","comment_location","content","score","url","is_use"
"1","永不消逝的电波","麦子1sal8",,"20/6/2021","上海站","情绪在流动 “长河无声奔去 唯爱与信念永存”","0.999615","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"2","永不消逝的电波","夏戀心夢",,"20/6/2021","上海站","这是一部精彩至极的舞剧 也是让我泪水狂飙的舞剧","0.999868","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"3","永不消逝的电波","麦子1nJLp",,"20/6/2021","上海站","超级赞，无论是演员表现力还是音乐还是布景 都堪称完美。","0.999993","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"4","永不消逝的电波","麦子0LdWZ",,"22/6/2021","上海站","电影级别的舞剧，光影交织下的是爱与信念永存。","0.99992","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"7","永不消逝的电波","Sechs_C",,"21/6/2021","上海站","太好了太棒了我中间睡着了看结尾都被感动了","0.999991","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"9","永不消逝的电波","麦子09rPC",,"26/6/2021","上海站","震撼，美，下次在看必买前排位置，这次买晚了","0.999975","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"10","永不消逝的电波","我还能怎么办啊",,"25/6/2021","成都站","特别棒，从编排到表演到舞美都是","0.99999","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"11","永不消逝的电波","smilexiao",,"25/6/2021","上海站","超级震撼 舞美灯光音乐都完美配合 演员们的表现也是非常优秀 把整个故事通过舞剧的表演形式呈现的清晰易懂又丝丝入扣 真的很震撼 感觉是非常完美的一次演出 值得再看","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"12","永不消逝的电波","上海卢湾区老克勒",,"25/6/2021","上海站","剧是好看的，但看的居然不是朱洁静，买票的时候也没有写明这场的演员，分明打闷包，欺骗观众。不是说那天的演员不好，但我们都知道是朱洁静主演，你们卖票的时候要说清楚，观演时发现不是朱洁静，就感觉受骗了。","0.0000794598","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"15","永不消逝的电波","maxfoxxx",,"23/6/2021","上海站","万物有灵，又自有规律，盈亏彼此牵制，形成一种流动的完整。万物有灵，又自有规律，盈亏彼此牵制，形成一种流动的完整。万物有灵，又自有规律，盈亏彼此牵制，形成一种流动的完整。万物有灵，又自有规律，盈亏彼此牵制，形成一种流动的完整。","0.991588","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"16","永不消逝的电波","Lee西西c5",,"23/6/2021","广州站","长河无声奔去 唯爱与信念永存","0.99982","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"18","永不消逝的电波","麦子0eX7G",,"22/6/2021","上海站"," 下半场开幕的旗袍店群舞好绝?我很喜欢李侠夫妇回忆相识相知相爱那段的叙事方式，还有裁缝店老板牺牲后场景倒放复原旗袍店被搜查时的片段","0.999896","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"20","永不消逝的电波","麦子",,"1/7/2021","西安站","震撼，值得现场观看，舞美精彩，演员优秀！","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"22","永不消逝的电波","麦子",,"30/6/2021","西安站","绝了！真是绝了！第一次看，以后决定pick到底！","0.99839","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"23","永不消逝的电波","麦子",,"30/6/2021","上海站","演出真的很棒啊，舞台效果很好","0.999992","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
